,texts,labels
10284,አረ ሼም ውሸትም ልክ አለው የነሱ ፊት እንደው  ይጠፋናል,negative
10285,አንተ እንቦጭ ባክህ ከጭንቅላትህ ሆድህ አያመዝን,negative
10286,ብልፅግና የሚባለው ሲጠፋ ካልሆነ በፍጹም አይታሰብም ምክንያቱም ዶክተር አብይም ሆነ ሽመልስ አብዲሳ ዋናዎቹ የሸኔ መስራቾች እና ደጋፊዎች ስለሆኑ,negative
10287,መሳርያቸው የታል ,negative
10288,አንተ እራስህ ሸኔ ነህ,negative
10289,ከሚያቀብሉት ውስጥ አንዱ አንተ አይደለህ  አንተ ቀዳዳ,negative
10290,እነዚህ ጅሎች  የሀገር ነቀርሳ,negative
10291,ደስ ይልናል  ክጥዋት ማታ ጨፈጨፈ የሚለው ወሪ ከመስማት እኛም እርፍ እንል ነበር ሽኔ ብንሽኝማ,positive
10292,ቀልድህ አይጠገብም,negative
10293,ያስጠላኝ ነገር ቢኖር የኢትዮጵያ የወሬ ፕሮፓጋንዳ የፖለቲካ አካሄድ ነው ,negative
10294,ያው አንተ እኮ ከዝህ በፍት ወያኔ የሚባል ነበር  ተብሎ በታሪክ በመሬት ለይ ለይመለስ ተበትኖል ብለህ ነበር,negative
10295,አማራ የሚባል አሸባሪስ መቸ ነው የሚጠፋ  ሲሆን ሲሆን መጠፋፋት አያስፈልግም ሠላም ይፈጠር ሁሉ ነገር በትግሬ ይብቃ ብለህ ማንቃት ያስፈልግ ነበረ ሆኖም ሸኔ ካለቀስ ወደ አማራ እንደሚዞርና ሰው እንደሚበላ አትጠራጠር  ስለ ሰላም ስመክ,negative
10296,አንተ ሸኔ,negative
10297,የገደልከው ደብረ ፂዮን የት እንዳለ አልሰማህም ዝም ብለህ ትቀደዳለህ,negative
10298,ዓሳ ህይወት የሚሚኖረው ባህር ውስጥ ነው ሸኔም ዋነኛ መደበቂያው ህዝብ ስለሆነ በየደረጃው ያለ የኦሮምያ አመራር በተጠያቂነት ሂሳብ ህዝብን ከሸኔ በመነጠል መስራቱ መረጋገጥ አለበት,negative
10299,መሪወቹ ቤተ መንግሥት ነው ያሉት አትሸወድ,negative
10300,ማንን ለማዘናጋት  ነው አንተ ጅል ጅላጅል ጅላንፎ,negative
10301,እውነት ከሆነ በጣም ጥሩ ነው,positive
10302,እንደ ቃልህ ይድርግክን ወንድሜ,positive
10303,በጣም ጥሩ ነዉ በርቱ ,positive
10304,ሸኔኮ የአስተሳሰብ ውጤት የወለደው ነው አስተሳሰቡን ማጥፋት ላይ ካልተሰራ ስሙን የቀየረ ሌላ አራጅ ቡድን መፈልፈሉ አይቀርም,neutral
10305,የመንግስት ድጋፍ ከቆመ በአጭር ጊዜ ይጠፋል,neutral
10306,ሸኔ ማ ከጠፋ ባለስልጣኖቻችን በምን ግርግር አገር ይመራሉ,negative
10307,ኢትዮጵያን  የሚያስካፋ መቅኔ የለውም በርቱ,positive
10308,እስካሁን ግን ሹርባ የተሰራ ሸኔ ተይዞ አላየውም ድራማ ይመስላል ነገራቹህ ሁሉ,negative
10309,አባይና ዋቤ ሽበሌ እያሉ የመቶ አመት እድፍ አልታጠብንም ብሎ ለሚያስበው ሽሜ አብዲሳ ንገረው  አስተሳሰቡንም ይጠብ ሸኔ የሽመልስ አብዲሳ አመራር ፖለቲካዊና ወታደራዊ ጥቃት ውጤት  ነው,negative
10310,ስለዚህ ለጦሩ ድጋፍ ይደረግለት,positive
10311,መጀመሪያም አልነበረም,neutral
10312,የአራት ኪሎ ሸኔዎችንስ,negative
10313,ባለን መረጃ መሰረት ሸኔ ላይ የተወሰደ እርምጃ የለም ,neutral
10314,ህወሓት የተበተነ ዱቀት ነው ከዚህ  በኃላ የተባለውን እያስታወስክ በጦርነት ማሸነፍ እና መሸነፍ ልኖር ይችላል ነገር ግን ዘላቂና አስተማማኝ ሠላም ስለማምጣቱ እርግጠኛ መሆን ያስቸግራል ስለዚህ በምክክር የምያልቅ ልዪነት የመሰለ ነገር የለም ለእኔ,positive
10315,እየሞተ ያለው የሰው ህይወት እና የህዝብ ንብረትስ,neutral
10316,እረ እንደ ቃልህ ይሁን,neutral
10317,አብይ ቅድሚያ የሰጠው ለኦሮሞ ሸኔ ማጥፋት ሳይሆን ለአማራ ሸኔ ለሚላቸው ለባለውለታዎቹ ፋኖዎች ና ለአማራ ሊህቃን ነው ,negative
10318,ሕወሓትንም ደምስሰናል ብላችሁ ነበር   ,neutral
10319,ሁኖ ካገኝህው ለምን አትገለውም ለማንም አይጠቅምም,negative
10320,ቆይ ግን ደብረፂወን እና መሮ ክርስቶስ ናቸው እንዴ ሙተው የሚነሱት,negative
10321,እነ ሹርቤን ካላዬሁ አላምንም,negative
10322,ሰው ሚመስሉ አውሬወች,negative
10323,እኛ የምናውቀው ሸኔ ባለሹሩባ አንተ የምትፖስተው ሸኔ ጨዋ ቁርጥ የተቆረጠ ስራ አጥ ምስኪን የሰፈር ልጆች እረ ተዉ የውሸትም ለከት ይኑረው,negative
10324,የሰገጤ ምኞት ,negative
10325,ከዚህ ቀደም እንዲህ ተብሎ ነበርበእናንተ ሀሰተኛ ፕሮፓጋንዳ የሚሸወድ የለም አትልፋየአብይ መንግስት በአፍጢሙ እንዲተከል ምኞቴ ነው,negative
10326,ደሞ ዛሬ  ይሄን በል ተብለህ ነው ከገደላችሁት እኮ ቆየ አለምነህ ዋሴ ዘግቦት ነበር  የኛ ሻኔ መንግስታችን ዶ/ር አብይ ነው,negative
10327,ኧረ ባክህ ማንን ነው የምታታልለው አቢይ አህመድ ከ አራት ኪሎ ሳይጠፋ ሸኔ መቼም አይጠፋም,negative
10328,አላህ ያድርገዉ,positive
10329,ሸኔ ማለት አዳነች ና ሽመልስ አብይ ከሆነ አዎ ጋሽ ዘብርቄ,negative
10330,መልማይ  አሰልጣኝ እና ሎጀስቲክስ አቅራቢ እነ ሽመልስን ያክል ደጋፊ እያለው እንዴት ሊጠፋ ይችላል,neutral
10331,ቆይ ሸኔ ሲዋጋ ራስታ ሲያዝ መላጣ ነው እንዴ,negative
10332,እነ ሽሜ አይደሉም እንዴ ሸኔዎች,negative
10333,እርጉም መጣህ በዚህ ደግሞ,negative
10334,አንተ ዝም ብለህ ለምን በርገርህን አትበላም አረ ተወን ,negative
10335,ጥፋቱ የኛ ነው ምንኖረው እኛ ስለኑሯችን የምትነግረን አንተ,negative
10336,ወመኔ  ብልፅግና  አታሽቃብጥ  ሁሌም  ሸኔ  ይያዛል  ግን  አንድም  አልቆ  አያውቅም  ምክንያት   ሁሉም  ኦሮሞ  ፖሊስ  ኦነግ  ስለሆነ,negative
10337,የሌላው ክልል የጸጥታ ሀይል ሳይወጣ የአማራው ሀይል ብቻ እንዲወጣ የተደረገበትንስ ምክንያት በዛው ትነግረን ደነዝ,negative
10338,ይህ ነገር እውነት ይሆን ወስደው ወደ ማጎሪያ ቦታ እንዳያስቀምጧቸው ያሰጋል ,negative
10339,እነሱ ከአበርገሌ እና ከፃግብጂ መቸ ነው የሚወጡት ጎበዝ,neutral
10340,መንግስት እየተሸወደ መሆኑን የሚያሳዩ ነገሮች ያለ ይመስለኛል  ምክንያቱም ህወሓት የታጠቃቸውን እንደ ስናይፔር  ብሬን እና ሌሎች መሣሪያ መቼ ፈታ ከአንዳንድ አከባቢዎች ህወሓት መቼ ወጣ ደግሞስ የጦር መሣሪያ ማከማቻ ካምብ አንድ ነው ብሎ መሸወድ ትክክል አይመስለኝም ,neutral
10341,ባለውለታዎቻችን ኢትዮጵያ ታመሰግናችኋለች እንኳንም ከእናንተ ተወለድን,positive
10342,የአማራ ልዩ ሀይል ተከዜ  ላይ መቀመጥ ያለበት ይመስለኛል  በጣም ነው በናተ የኮራን ሰላም ተመለሱ,positive
10343,የአማራ ልዩ ሀይልን ጀግና የሚለው ቃል ብቻ ይገልፀውም  ስለዚህ  አድስ የቃለት ምርት ያስፈልገዋል እስኪ አድስ ምርት የላችሁ ,positive
10344,የአማራ ልዩ ኃይልና ሚሊሻ እንዲሁም ፋኖ የኢትዮጵያ ኩራቶች ናቸው ክብር ይገባቸዋል,neutral
10345,የአማራ  ልዩ  ሓይል  የኢ/ያ የቁርጥ  ቀን  ልጅ  ነውና   ክብር  ምሰጋና  ይገባዋል ,positive
10346,አንቺው  ታመጪው  አንቺው   ታሮጪው ,positive
10347,እንኩዋን መለሳችሁልን ወደክልላችን,neutral
10348,የእውነት ሰላም ቢሆን በጣም ደስ ይለኝ ነበር አማራ የባሰ ቀለበት ውስጥ እየገባ ነው የተዳፈነ እሳት ነው,negative
10349,የምንግዜም ጀግኖችና የሀገር ባለውለታዎች ናችሁ  ክብር ይገባችኋል ,positive
10350,ምን ዋጋአለው በባንዳ መመራታን እንደ ደብረፅዮን ኮንፊደንሰ የታለ በራሰ መተማመን,negative
10351,ከ ወልቃይት ግን ወይ ንቅንቅ,neutral
10352,የዘመኑ ጀግኖች  ኢትዮጵያ ትኮራባቹሃለች ,positive
10353,መኩሪያዎቻችን,positive
10354,ክብር ለአማራ ልዩ ሀይል እናመሰግን አለን,positive
10355,እናመሰግናለን ሰላሙ ነዉ የሚሻለን ,positive
10356,እናንተ ወራዳዎች,negative
10357,ጀጌናው የአማራ ልዩሀይል የልቡን ሠርቶ ወጣ ጀግኖቻችን ሁልግዜም ለናተ ክብር አለኝ,positive
10358,የኢትዮጵያዊን እስትንፋሶች በሰላም ግቡልን ,positive
10359,ምድረ ዎራሪ ርስትን ማስመለስ ተዉ አንዴ  ,negative
10360,የአማራን መሬት በሀይል የተቀራመቱት ሕወሓት ቡድን ከወልቃይት ጠገዴ እና ከአካባቢዋ የአማራ ልዩ ሀይልን ለማስወጣት እየሄደች እንዳለ ግልጽ ነው ,neutral
10361,ክብር ለሚገባው ክብር ሰጥ,positive
10362,ጀግኖች ክብር ይገባችኋል,positive
10363,ዳይ አሁን በቀጥታ ወደሰውበላው ወደሸኔ ቀጥሉና ገረፎዋቸው,neutral
10364,ጀግናናችሁ  መቸም  አንረሳችሁም  ትለያላችሁ,positive
10365,ዋናው ተከፋይ,negative
10366,የኔ ዉዶች ስለ ሁሉም አመሰግናለሁ,positive
10367,ታዝሎ የገባው ታዝሎ ሊወጣ ግድ ይላል,negative
10368,ጀግኖቻችን በሰላም ተመልሰዋል  ይህን ሐቅ የማይቀበል ይውረድ ,positive
10369,ወልቃይትና ራያን ለመስጠት የተጀመረች ሾርኔ,negative
10370,የኤርትራስ መች ይወጣል አይ ኢትዮጵያ ,negative
10371,የአማራ ልዩ ሃይል ማለት ለሰሜን ክፍለ ጦር ቀድሞ ደርሶ ኢትዮጵያን ከታላቅ ውድቀት ያዳነ ነው    ,positive
10372,አሁን ከሽሬ ተባለ ቀጥሎ ደግሞ ከወልቃይት እንዳይሉንና አገሪቷን ወደ ዳግመኛ የከፋ ችግር ላይ እንዳይጥሏት ስጋት አለኝ,neutral
10373,ሃገርን ከመፍረስ የታደገ የማይረሳ ታሪክ,positive
10374,የአማራ ልዩ ሀይልና ፋኖ ለሀገር ክብር ናችሁ አሁን ክልላችንን ከወያኔ መጠበቅ ነው እንወዳችሁአለን,positive
10375,ክብርና ምስጋና ለእናንተ ይሁን የኢትዮጵያ የቁርጥ ቀን ልጆች አማራን ቀብረነዋል ያሉትን የእነ ስብሀትን ጦር ቀብራችሁ ስትመለሱ ኩራት ሊሰማችሁ ይገባል ዘላለማዊ ክብር ለሰማእታት እና ለጄነራል አሳምነው ፅጌ,positive
10376,ክብር ይገባችኋል,positive
10377,ግዳጃችሁን በጀግንነት ተወታችኃልና ክብር ይገባችኃል ,positive
10378,ክብር  ለልዩ ሀይላችን,positive
10379,ቀጥሎ ከወልቃይትና ራያ  እንዳትሉ ብቻ,neutral
10380,ሻዕብያስ መቸ ነው ሚወጣው,neutral
10381,በርቱ ኮራን በናንተ,positive
10382,እንካን በሰላም ወጣችሁ  ወንድሞቻችን,positive
10383,ታዝሎ ሳይሆን የገባ እብሪት የዉጠረዉን አሰተንፍሶ ነው የወጣ,positive
10384,ኮራንባችሁ የአገር አለኝታዎች እድሜና ጤና ለጥምር ሃይላችን ኢ/ያ ሁሌም ታመሰግናችኋለች ትልቅ ባለውለታዋ ናችሁ,positive
10385,ጀግኖች እናመሰግናለን,positive
10386,መከላከያ ለኛ ጊዜ እንደማይጨፈጨፍ ተስፋ በማድረግ ነው,neutral
10387,ጀግናዎች ናችሁ እወዳችዋለሁ,positive
10388,ወደህ ሳይሆን በግድ ትወጣለህ,positive
10389,አማራ እንዳትዘናጋ ይልቁንስ ከትግራይ ሀይሎች ጋር አንድ ሁን ብልፅግና አይታመንም,negative
10390,ወዳጀ የአማራ ልዩ ኃይል ትግራይ አልገባም የትግራይን ወራሪ ከክልሉ አባረረ እንጂ ትግራይ አልገባም,positive
10391,አማራ ባልሆንም ግን ኮርቼባችኋለው ጀግና የጀግና ልጆች,positive
10392, ማጉብደድ ሆድ አደር አትሁን ጀግና አሁንም ይገባል አስፈላጊ ሲሁን,neutral
10393,ደርብ ,positive
10394,ሀገርን የታደገ  ጦር ግን አሁን ስሙ እየጠለሸ ይገኛል የባዳ መዳኒት ኮርተንባችኋል,positive
10395,የኢትዮጵያ ባለውለታዎች ናችሁ በርቱልን,positive
10396,ሰላም ማለት በሕገ መንግስት መገዛት ማለት ከሆነ ትናንሽም ይሁኑ ትላልቅ ጥያቄዎች በሕግና በሕግ ብቻ እልባት ማግኘት አለባቸው ነፍጥን ማንሳት በወገን ሳይሆን በባእድ ነው ,positive
10397,የዚህ ዘመን ጀግኖች ናችሁ እና እንደሌሎቹ የኢትዮጵያ ጀግኖች ታሪካችሁ ከትውልድ ትውልድ ይዘከራል ተወርዋሪዎቹ,positive
10398,የአማራ ጅራፍ የተለየ ነው ያሸዋል ገና,positive
10399,አንተ ስላልክ ጦርነቱ አይቀርም አማራወ  ነቅቶል አማራው ተራራው አማራው ተራራው  ነቄ,positive
10400,ይሄ አሽቃባጭ ፋኖ ,negative
10401,ሳተናው   አይበገሬው ,positive
10402,አገርን ከጠላት  መጠበቅ  የዜግነት  ግዴታ  ቢሆንም  የእናንተ  ግን ይለያል  ,positive
10403,ራያ ቆዩልን ወገኖቼ,positive
10404,ይህ   የሰራችሁትን  ነውር ሁሉ በአማራው ሀይል ላይ ለመደፍደፍ      የፈጠራችሁት  ፕሮፖጋንዳ እንደሆነ  የማይረዳ ያለ አይምሰልህ ️,positive
10405,እንኳን በሠላም ወጣችሁ,positive
10406,አንተ ሰው መቼ ይሁን ከአማራ አናት የምትወርደው,negative
10407,ተንኮል እና አቅም ብዙ ልዩነት አላቸው ስለዚህ ዛሬም ሆነ ነገ እዉነት በተንኮል ከተዋጠች ኃይል ትጠቀማለች,positive
10408,ለከፈሉት መሰዋእትነትና ለፈፀሙት ጀግንነት ልዩ ክብር አለኝ,positive
10409,የተማረኩስ መለቀቅ የለባቸውም,positive
10410,ደሞ በዚ መጣህብን እንዴት እንመንህ,neutral
10411,ተመሰገን ነው ሌላ ይበዛልን,positive
10412,በየመንገዱ ገመድ ወጥረው ሰው የሚያሰቃዩት ትናንሽ መንግስታትስ ,neutral
10413,በርቱ  እግዚአብሔር ይባርክህ እውነትን ለማሳወቅ ስለምትጥር,positive
10414,ጫካም እያሉ ከሱማሌ ጋር የወገነ ከሀዲ ፓርቲ እደነበር ይታወቃል,negative
10415,ከአዴፓ ጎን ነን,positive
10416, ጥሩ አደፓ ትዕግስትንና ፍራቻን ላልተገነዘቡ በቂ ምላሽ ነው ,neutral
10417,ቆይ አቶ ደመቀ መኮንን  በምን ሞራል ነው  ህወኃትን የሚተቸው  ከቀበሌ አንስቶት እስኬ ምጠሚ ድረስ ያሳደገው ህወኃት አይደል እንዴ   ,neutral
10418,ጋርድም ስብሰባ ይቀመጣል አሉ እዝያ,negative
10419,እረ የትግራይ ወንድሞቺ ይህን አሳፋሪ የህዋት የሺማግሌ ሳብሰብ ሀይ በሉት,positive
10420,እንዴ አንተስ ቢሆን የማንን ጎፈሬ ታበጥራለህ,neutral
10421,ለዚህ ትዉልድ ማሰብ ነበረባቹ የተዋለደ የተዛመደ ስንቱ ነዉ የጥፋት ሐይሎች ለህግ ይቅረቡልን እኛ ኢትዮጵያን የሺ ዘመን ታሪክ ነው ያለን እናም አስቡ ኢትዮጵያ ለዘላለም ትኑር,positive
10422,ወቅታዊ ትህነግን ያሣፈረ የአማራውን ህዝብ ከመቸውም ጊዜ በላይ ያረካ መግለጫእነ ጀዊም ከዚህ ቢማሩ ጥሩ ነው,neutral
10423,ገና አሁን ነው አዴፓዎች የተገለጠላቸው,neutral
10424,አገር የዘረፉ ሌባነን ብለው ይቅርታ ይጠይቁ,neutral
10425, እናንተም ያው አዴፓ አይደላችሁም የጋራ መግለጫ በሉ እንጅ,neutral
10426,ሽለላ ቀረርቶ ያስጠላል ይልቁንስ ለሰው ለውጥ እና እድገት ስሩ በባዶ ወሬ ላገር አይጠቅምም,positive
10427,አታርፊም,negative
10428,አዴፓ አሥመሣይ ሠርጎ ገቦችን በአሥቸኳይ መመንጠርና ማሥወገድ ግዜ አይሠጠውም,neutral
10429,የአመራሮቹ እጅ አለበት ወይም ክልሉ አቅመ ደካማ ነው ካልሆነ ደግሞ የሆነ አካል ሴራ አለበት ,neutral
10430,ኢትዮጵያ ያለ ዓማራ  አትደምቅም  ጠቢብ  ኢትዮጵያዊ አማራ ነዋ ,negative
10431,እንከፍ በላቸው አሳምነው ፅጌም ልሞት አከባቢ እንዲሁ ያደርገው ነበር,negative
10432,የምር ምርጥ አገላለጽ ነው ሰው በሰውነቱ እስኪከበር ድረስ ትግል አይቆምም,positive
10433,በእውነት ለእንደዚህ ላለ ጀግና ህይወቴን እሠጣለሁ,positive
10434,አዎ አሁንም እንላለን ቤሻንጉል የሚባል አውጫጭኝ ክልል ህዝባችን ማይጠብቅ ከሆነ አደራ ከ አባቶቻችን ስላለብን ሃገራችን እንታደጋለን አማራ በልጆቹ ታሪኩን ያድሳል,positive
10435,የሚገርም አገላለፅ ነው በነገራችሁ ላይ የመተከሉ ጉዳይ እዛ አካባቢ የሚያስተዳድረው አካል እጁ አለበት,negative
10436,አማራ   ኢትዮጵያ  ነው,positive
10437,ወይ ያሥከብሩ  ወይ እናሥከብረው,neutral
10438,ልሙጥ ይዞ እትዮጽያዊ የለም,negative
10439,የ አማራ ፍኖ ሽፍታ የሰራው ስህተት ታሪክ ይቅር የማይለው ጭፍጨፋ ነው,negative
10440,በመጀመሪያ ጉምዝን አደብ እናስይዝ  በኃላ ከአንተ ጋ ቀሪ ሂሳባችንን እናወራርዳለን ,negative
10441,ተግባር  የለ  ወሬ  ብቻ  ሁል  ጊዜ  አማራ  እየሞተ  እንዲህ  እናረጋለን  ከማለት  ዉጪ  መተከል  ላይ  ምንም  አላየንም  ከልቂት  ዉጪ,negative
10442,የአማራ ሳይሆን የኢትዮጵያ ልዩ ኃይል እና ሚሊሺያ ተብሎ ቢስተካከል ጥሩ ይመስለኛል  ምክንያቱም ከምስረታው እስከ አሁን የኢትዮጵያ እና የኢትዮጵያውያን መከታ ሆኖ እያገለገለ ነው ያለው  ,negative
10443,ኢትዮጵያን በልቡም በደሙም ውስጥ አዋሕዶ የሚኖር ሕዝብ አማራ ብቻ ነው ሌሎችማ ፍቀዋታል ሰንደቅ አላማዋንም ማየት አይፈልጉም,neutral
10444,ፋኖወች ስራችሁ እሚያኮራ ነው ለዚህም መፍቴ እደምታመጡ አልጠራጠርም,positive
10445,አጥፊዋችን በህግ አስጠይቁ መደራደር ለማንም አይጠቅምም,neutral
10446,የክልሉ አሳማ ምን እየሰራ ነው ኦሮሙማን ድራሹን ማጥፋት ያስፈልጋል,negative
10447,እድሜህ ይርዘም ነገሩስ ለሀገሩና ለወገኑ የሚቆረቆርና የሚስብ ሰው እነ አብይ ወይ ማስገደል ወይ ደግሞ ማሳሰር ነው ይዘው ያለው በርታልኝ አንበሳዬ እሱ ነው እውነቱ,negative
10448,ማን ነበር ሲሸልል እንዲህ ያለው የከፋው መስሎ አንገት የደፋ ድንገት ይነሳል እየደነፋ,neutral
10449,ለምን  ይቀፋችኋል  የአማራ  ጀግንነት  ሲነገር   ለጀግንነታቸው  እውቅና  ሊሰጣቸው  ይገባል,neutral
10450,እንደዛ ከሆነ ከዚሕ በኋላ እኔም ቤተሰቦቼም በኢትዮጵያዊነታችን ኮርተናል ማለት ነው ግን ያለፈው ጥፋት እንዳይደገም የአማራ መሪዎች እንደ ርግብ የዋሕ እንደ እባብ ልባሞች በመሆን እናንተንም እንዳናጣችሁ በሁሉ መልኩ መጠንቀቅ አለባችሁ በርቱልን ብለናል,neutral
10451,ሥለአማራ ዘገባቹ ዛሬ እናንተ ሲዞር  አብራችሁ ዘወር ክክክክ,negative
10452,ለአማራ  ልዩ  ሐይልና  መኒሻ  ለደጉ  አሁንም  ቸሩ   መድሐኒአለም   ሞገሱን   ይጨምርላችሁ,positive
10453,እደዚህ  ቁርጥ  ያለ  አቋም ይኑራችሁ  መቶ ፐርሰንት  ያማራ  ህዝብ  ገጎናችሁ  ነዉ ,positive
10454,አንተ ማነህና,negative
10455,በትክክል መከላከያን ከሞት ያተረፉት የነፍጠኛው ልጆች ናቸው እየመረራቸው ይዋጡት አማራን ለሚጠሉት ሁሉ,neutral
10456,በፍጥነት ወደ ተግባር ይገባ እንደጅምሩ ግን ደስ ይላል,positive
10457,የአማራን ህዝብ የምታገል ኢትዮጵያ የራሷ ጉዳይ,negative
10458,እረ ስሜታዊ አትሁኑ ምሊሻ ሁሉም ክልል አለው እኮ እነሱ ክልላቸውን እንጂ ስለሌላው ምን አገባቸው  በህገመንግስት ሁለም የራሱ ድርሻ አለው ,positive
10459,በጣም አምሮብሀል,positive
10460,በሁለት ቢላ መብላት ውላችሁ አድራችሁእል,negative
10461,አማራ ማለት የለማኝ ዘር ማለት ነዉ ,negative
10462, እንደት በህግ የማይታወቅ ባንድራ ትጠቀማላችሁ,neutral
10463,ለማኝ አንተ ነህ ደነዝ,negative
10464,ጀግኖቹ አምረዋል ,positive
10465,ይህ ጮማ ራሥ አበረ ሚባል ግዑዝ መሀይም እሥከመቸ ነው ፌደራል መንግሥትን ሚጠብቅ ህዝቡ እሥኪጸዳ ነው ይህ በመተከል የሚካሔደው አማራን የማጽዳት ሒደት ኮ በፌደራል መንግሥቱ በሚሥጥር የተፈቀደ ይሁንታ አለበት  ታዲያ እሥከመቸ ነው ሚጠብቁት ህዝቡ እሥኪያልቅ ነው,negative
10466,ኢትዮጵያ የኹሉም ኢትዮጵያዊ ዋስትና ናት ይልሀልዞር ብሎ ደግሞ  ወልቃይት ጠገዴ  ራያ  ሁመራ  ቤኒሻንጉል  ከምፅዋ እስከ ሞይሌ የአማራ ነው ይልሀል አይ አማራ ,neutral
10467,አንበጣ በሊታ ውሾች,negative
10468,በፉክክር ሀገር አይገነባምገና ብዙ ትግል ይጠበቅበታል ስለዚህ አትሞኙ      ,neutral
10469,የአማራ ህዝብ ለኢትዮጵያ ህዝብ ባለውለታ ነው ግን ልዩ ሀይሉ አላማው ሌላ ይመስላል ትግራይም በኒሻንጉልም ስገባ ሌላ ብሔር ገሎ አማራነትን ማስፋፋት ነው ወይስ ወንጀለኞችን መያዝ ነው የምመስለው ግን የቆዬ ቅም ብቀላ ይመስላል መከላከያና ፌዴራል ፓሊስ እያለ ግን የአማራ ልዩ ሀይል በክልሎች ውስጥ ገብቼ ህግ አስከብራለው ማለት አይችልም ህገ ወጥ ነው ትግራይም በኒሻንጉልም አፋርም ኦሮምያም ሁሉም ጋ ምክንያቱም ሁሉም ክልል የራሱ ልዩ ሀይል አለው ህግ ምያስከብርበት የትግራይ እንኮአን ችግር የለውም አጋጣምም ስለሆነ አከባብም ስለሆነ ለመከላከያ ያደረጋቹት እገዛ እርዳታ ታርክ አይረሳውም ጀግንነታቹን ጁንታውን ለማጥፋት ግን እሱን ጀብድ ሌላ ክልል ደግማለው ማለት ወንጀል ነው ፀቡ ከክልሎች እንዳይሆን ተረጋጉ የኦሮምያም ልዩ ሀይል ለአማራ ተወላጅ ብሎ ህግ እያስከበረ ነው ከኦነግ ጋር ዋጋም እየከፈለ ነው ,neutral
10470,አሁን በምታጠናክሩት ልዪ ሀይል ላይ ጉራጌውንም ወላይታውንም  ሱማሌውንም  አፉሩንም ሌሎችንም ቀላቅሉና ታሪክ ስሩ ኢትዬጵያዊነት ለዘልአለም ያባብል,positive
10471,ጀግኖች ኢትዮፒያን ከመፍረስ የታደጋቹ ጀግና የጀግና ዘር ክብር ሁሉ ይገባቹሀል በቃ አራት ነጥብ,positive
10472,የህዋት መዋቀራዊ የፓርቲው አስተሳሰብ ምን ያህል የከፍ እንደነበር እና ዛሬ ላይ እራሱ እንዲ መቀጠሉን ስታቅ ከስልጣን ወርደው እራሱ ያየነውን ቆም ብለን ስናይ ስናሰብ አይምሩአችን ለደይቃ መደንዘዙ የማይቀር ነው እምነቴ ከዚ ቡዋላ ላሉትም ወደፊት ለሚመጡትም ፓርቲዋች መጥፎ አስተሳሰብ ካለችው ጊዜም መስጠት ያለብን አይመስለኝም እያስቀየሩ  እየኮነኑ  ሰውየውን ከመጥላት አስተሳሰባቸውን አለመግዛት  እንዲሰሙ አርጉ እያዩ መጣል ያስፈልጋል የኔ የምላት ኢትዮጵያን የተሻለች ሠላመዊ ፍቅር የተሞላባት ሀገር እንድትሆን እመኛለው         የኛ ሀገር ችግራችን ማፍቀር ነው ሳንመረምር  ሳንፈትሽ  ሲሳሳቱም ዝም ማለታችን በፍቅር ምርጫ የለም አምልኮ ብቻ ነውበመውደድ ውስጥ ግን ምርጫ አለበኔ እይታ,neutral
10473,ታድያ ኦሮሚያ  ኦሮሞ ሄዴ አይስከብርም ንፍጣም ፈረ ከመከላከያ  ሃላሃለ መከተል ብልሃት ወይስ ፍራት,neutral
10474,ኢትዮጵያ እንደዚህ ዓይነት ባንዲራ የላትም,neutral
10475,አሁን ገና አማራ  አማራ  ሸተታችሁ በርቱልን  ጀግኗቻችን ከጓናችሁ እንሰለፋለን ,positive
10476,በየአቅጣጫው እየተገደለ ያለው የአማራ ተወላጅ ነው ግን እስካሁን እርምጃ ይወሰዳል ይባላል መግለጫ ይሰጣል የንፁሀን ደም ግን አሁንም እየፈሰሰ ነው ፍትህ ከሰው ሳይሆን ከፈጣሪ ነው,neutral
10477,በለው እንግዲህ አታወላውል ቆርጠህ ተነሳ ለዚህ ጅላጅል ቆፍጣናው አማራ ,neutral
10478,ምናባህነው ያልከው ዶማ,negative
10479,ባለፉት  ሂለት  ዓመታት  ጉሙዞችን  ሲፈጁ  እንዲሁም  የወሎ  ኦሮሞንና  ቅማንትን   እንደፈለጉ  ሲጨርሷቸዉ  ድርጊቱን  የአማራ  ክልል  መሪዎች  ይህ  ቀን  ይመጣል  ብለዉ  አላሠቡም  ነበር,neutral
10480,ሁሉም የአማራ ወጣት አንገብጋቢ ጥያቄው ነው ,neutral
10481,ሌባና  ወሮ በላ,negative
10482,ኢትዮጵያን በውሸት ያፈረሳት አማራ ነው,negative
10483, አሁን ትክክለኛ መገናኛ ብዙሃን እየመሰላ መጥቶአል ,positive
10484,ዳር ዳር አትሄዱ በቤንሻንጉል ክልል የአማራ እናቶች ህጻናት እና አባቶች ኩላሊት ጉበት ወጦ በጉምዝ እየተበላ ነው ብላችሁ ዘግቡ የሰውን ብልትም በመቁረጥ ላይ ናቸዉ በሉ በቀስት እንደ እንሰሳ አማራ በኛው ክፍለዘመን እየተገደለ ነውም ብላችሁ ዘግቡ,negative
10485,ሁሌ ታሪክ ይዘክራቸዋል  እሺ  ጀግኖቸችን ናችሁ,positive
10486,ጀግና የጀግና ልጅ የኢትዮጵያ አለኝይታ ኩሩው አማራ ,positive
